,datetime,00060_Mean,site_no
28600,1991-01-20 00:00:00+00:00,0.0,01463500
28601,1991-01-21 00:00:00+00:00,0.0,01463500
28602,1991-01-22 00:00:00+00:00,0.0,01463500
28603,1991-01-23 00:00:00+00:00,0.0,01463500
28604,1991-01-24 00:00:00+00:00,0.0,01463500
28605,1991-01-25 00:00:00+00:00,0.0,01463500
28606,1991-01-26 00:00:00+00:00,0.0,01463500
28607,1991-01-27 00:00:00+00:00,0.0,01463500
28608,1991-01-28 00:00:00+00:00,0.0,01463500
28609,1991-01-29 00:00:00+00:00,0.0,01463500
28610,1991-01-30 00:00:00+00:00,0.0,01463500
28611,1991-01-31 00:00:00+00:00,0.0,01463500
28612,1991-02-01 00:00:00+00:00,0.0,01463500
28613,1991-02-02 00:00:00+00:00,0.0,01463500
28614,1991-02-03 00:00:00+00:00,0.0,01463500
28615,1991-02-04 00:00:00+00:00,0.0,01463500
28616,1991-02-05 00:00:00+00:00,0.0,01463500
28617,1991-02-06 00:00:00+00:00,0.0,01463500
28618,1991-02-07 00:00:00+00:00,0.0,01463500
28619,1991-02-08 00:00:00+00:00,0.0,01463500
28620,1991-02-09 00:00:00+00:00,0.0,01463500
28621,1991-02-10 00:00:00+00:00,0.0,01463500
28622,1991-02-11 00:00:00+00:00,0.0,01463500
28623,1991-02-12 00:00:00+00:00,0.0,01463500
28624,1991-02-13 00:00:00+00:00,0.0,01463500
28625,1991-02-14 00:00:00+00:00,0.0,01463500
28626,1991-02-15 00:00:00+00:00,0.0,01463500
28627,1991-02-16 00:00:00+00:00,0.0,01463500
28628,1991-02-17 00:00:00+00:00,0.0,01463500
28629,1991-02-18 00:00:00+00:00,0.0,01463500
28630,1991-02-19 00:00:00+00:00,0.0,01463500
28631,1991-02-20 00:00:00+00:00,0.0,01463500
28632,1991-02-21 00:00:00+00:00,0.0,01463500
28633,1991-02-22 00:00:00+00:00,0.0,01463500
28634,1991-02-23 00:00:00+00:00,0.0,01463500
28635,1991-02-24 00:00:00+00:00,0.0,01463500
28636,1991-02-25 00:00:00+00:00,0.0,01463500
28637,1991-02-26 00:00:00+00:00,0.0,01463500
28638,1991-02-27 00:00:00+00:00,0.0,01463500
28639,1991-02-28 00:00:00+00:00,0.0,01463500
28640,1991-03-01 00:00:00+00:00,0.0,01463500
28641,1991-03-02 00:00:00+00:00,0.0,01463500
28642,1991-03-03 00:00:00+00:00,0.0,01463500
28643,1991-03-04 00:00:00+00:00,0.0,01463500
28644,1991-03-05 00:00:00+00:00,0.024465755462400002,01463500
28645,1991-03-06 00:00:00+00:00,0.023731782798528,01463500
28646,1991-03-07 00:00:00+00:00,0.011743562621952001,01463500
28647,1991-03-08 00:00:00+00:00,0.0014679453277440001,01463500
28648,1991-03-09 00:00:00+00:00,0.0,01463500
28649,1991-03-10 00:00:00+00:00,0.0,01463500
28650,1991-03-11 00:00:00+00:00,0.0,01463500
28651,1991-03-12 00:00:00+00:00,0.0,01463500
28652,1991-03-13 00:00:00+00:00,0.0,01463500
28653,1991-03-14 00:00:00+00:00,0.0,01463500
28654,1991-03-15 00:00:00+00:00,0.0,01463500
28655,1991-03-16 00:00:00+00:00,0.0,01463500
28656,1991-03-17 00:00:00+00:00,0.0,01463500
28657,1991-03-18 00:00:00+00:00,0.0,01463500
28658,1991-03-19 00:00:00+00:00,0.0,01463500
28659,1991-03-20 00:00:00+00:00,0.0,01463500
28660,1991-03-21 00:00:00+00:00,0.0,01463500
28661,1991-03-22 00:00:00+00:00,0.0,01463500
28662,1991-03-23 00:00:00+00:00,0.0,01463500
28663,1991-03-24 00:00:00+00:00,0.0,01463500
28664,1991-03-25 00:00:00+00:00,0.0,01463500
28665,1991-03-26 00:00:00+00:00,0.0,01463500
28666,1991-03-27 00:00:00+00:00,0.0,01463500
28667,1991-03-28 00:00:00+00:00,0.0,01463500
28668,1991-03-29 00:00:00+00:00,0.0,01463500
28669,1991-03-30 00:00:00+00:00,0.0,01463500
28670,1991-03-31 00:00:00+00:00,0.0,01463500
28671,1991-04-01 00:00:00+00:00,0.0,01463500
28672,1991-04-02 00:00:00+00:00,0.0,01463500
28673,1991-04-03 00:00:00+00:00,0.0,01463500
28674,1991-04-04 00:00:00+00:00,0.0,01463500
28675,1991-04-05 00:00:00+00:00,0.0,01463500
28676,1991-04-06 00:00:00+00:00,0.0,01463500
28677,1991-04-07 00:00:00+00:00,0.0,01463500
28678,1991-04-08 00:00:00+00:00,0.0,01463500
28679,1991-04-09 00:00:00+00:00,0.0,01463500
28680,1991-04-10 00:00:00+00:00,0.0,01463500
28681,1991-04-11 00:00:00+00:00,0.0,01463500
28682,1991-04-12 00:00:00+00:00,0.0,01463500
28683,1991-04-13 00:00:00+00:00,0.0,01463500
28684,1991-04-14 00:00:00+00:00,0.0,01463500
28685,1991-04-15 00:00:00+00:00,0.0,01463500
28686,1991-04-16 00:00:00+00:00,0.0,01463500
28687,1991-04-17 00:00:00+00:00,0.0,01463500
28688,1991-04-18 00:00:00+00:00,0.0,01463500
28689,1991-04-19 00:00:00+00:00,0.0,01463500
28690,1991-04-20 00:00:00+00:00,0.0,01463500
28691,1991-04-21 00:00:00+00:00,0.0,01463500
28692,1991-04-22 00:00:00+00:00,0.0,01463500
28693,1991-04-23 00:00:00+00:00,0.0,01463500
28694,1991-04-24 00:00:00+00:00,0.0,01463500
28695,1991-04-25 00:00:00+00:00,0.0,01463500
28696,1991-04-26 00:00:00+00:00,0.0,01463500
28697,1991-04-27 00:00:00+00:00,0.0,01463500
28698,1991-04-28 00:00:00+00:00,0.0,01463500
28699,1991-04-29 00:00:00+00:00,0.0,01463500
28700,1991-04-30 00:00:00+00:00,0.0,01463500
28701,1991-05-01 00:00:00+00:00,0.0,01463500
28702,1991-05-02 00:00:00+00:00,0.0,01463500
28703,1991-05-03 00:00:00+00:00,0.0,01463500
28704,1991-05-04 00:00:00+00:00,0.0,01463500
28705,1991-05-05 00:00:00+00:00,0.0,01463500
28706,1991-05-06 00:00:00+00:00,0.0,01463500
28707,1991-05-07 00:00:00+00:00,0.0,01463500
28708,1991-05-08 00:00:00+00:00,0.0,01463500
28709,1991-05-09 00:00:00+00:00,0.0,01463500
28710,1991-05-10 00:00:00+00:00,0.0,01463500
28711,1991-05-11 00:00:00+00:00,0.0,01463500
28712,1991-05-12 00:00:00+00:00,0.0,01463500
28713,1991-05-13 00:00:00+00:00,0.0,01463500
28714,1991-05-14 00:00:00+00:00,0.0,01463500
28715,1991-05-15 00:00:00+00:00,0.0,01463500
28716,1991-05-16 00:00:00+00:00,0.0,01463500
28717,1991-05-17 00:00:00+00:00,0.0,01463500
28718,1991-05-18 00:00:00+00:00,0.0,01463500
28719,1991-05-19 00:00:00+00:00,0.0,01463500
28720,1991-05-20 00:00:00+00:00,0.0,01463500
28721,1991-05-21 00:00:00+00:00,0.0,01463500
28722,1991-05-22 00:00:00+00:00,0.0,01463500
28723,1991-05-23 00:00:00+00:00,0.0,01463500
28724,1991-05-24 00:00:00+00:00,0.0,01463500
28725,1991-05-25 00:00:00+00:00,0.0,01463500
28726,1991-05-26 00:00:00+00:00,0.0,01463500
28727,1991-05-27 00:00:00+00:00,0.0,01463500
28728,1991-05-28 00:00:00+00:00,0.0,01463500
28729,1991-05-29 00:00:00+00:00,0.0,01463500
28730,1991-05-30 00:00:00+00:00,0.0,01463500
28731,1991-05-31 00:00:00+00:00,0.0,01463500
28732,1991-06-01 00:00:00+00:00,0.0,01463500
28733,1991-06-02 00:00:00+00:00,0.0,01463500
28734,1991-06-03 00:00:00+00:00,0.0,01463500
28735,1991-06-04 00:00:00+00:00,0.0,01463500
28736,1991-06-05 00:00:00+00:00,0.0,01463500
28737,1991-06-06 00:00:00+00:00,0.0,01463500
28738,1991-06-07 00:00:00+00:00,0.0,01463500
28739,1991-06-08 00:00:00+00:00,0.0,01463500
28740,1991-06-09 00:00:00+00:00,0.0,01463500
28741,1991-06-10 00:00:00+00:00,0.0,01463500
28742,1991-06-11 00:00:00+00:00,0.0,01463500
28743,1991-06-12 00:00:00+00:00,0.0,01463500
28744,1991-06-13 00:00:00+00:00,0.0,01463500
28745,1991-06-14 00:00:00+00:00,0.0,01463500
28746,1991-06-15 00:00:00+00:00,0.0,01463500
28747,1991-06-16 00:00:00+00:00,0.0,01463500
28748,1991-06-17 00:00:00+00:00,0.0,01463500
28749,1991-06-18 00:00:00+00:00,0.0,01463500
28750,1991-06-19 00:00:00+00:00,0.0,01463500
28751,1991-06-20 00:00:00+00:00,0.0,01463500
28752,1991-06-21 00:00:00+00:00,0.0,01463500
28753,1991-06-22 00:00:00+00:00,0.0,01463500
28754,1991-06-23 00:00:00+00:00,0.0,01463500
28755,1991-06-24 00:00:00+00:00,0.0,01463500
28756,1991-06-25 00:00:00+00:00,0.0,01463500
28757,1991-06-26 00:00:00+00:00,0.0,01463500
28758,1991-06-27 00:00:00+00:00,0.0,01463500
28759,1991-06-28 00:00:00+00:00,0.0,01463500
28760,1991-06-29 00:00:00+00:00,0.0,01463500
28761,1991-06-30 00:00:00+00:00,0.0,01463500
28762,1991-07-01 00:00:00+00:00,0.0,01463500
28763,1991-07-02 00:00:00+00:00,0.0,01463500
28764,1991-07-03 00:00:00+00:00,0.0,01463500
28765,1991-07-04 00:00:00+00:00,0.0,01463500
28766,1991-07-05 00:00:00+00:00,0.0,01463500
28767,1991-07-06 00:00:00+00:00,0.0,01463500
28768,1991-07-07 00:00:00+00:00,0.0,01463500
28769,1991-07-08 00:00:00+00:00,0.0,01463500
28770,1991-07-09 00:00:00+00:00,0.0,01463500
28771,1991-07-10 00:00:00+00:00,0.0,01463500
28772,1991-07-11 00:00:00+00:00,0.0,01463500
28773,1991-07-12 00:00:00+00:00,0.0,01463500
28774,1991-07-13 00:00:00+00:00,0.0,01463500
28775,1991-07-14 00:00:00+00:00,0.0,01463500
28776,1991-07-15 00:00:00+00:00,0.0,01463500
28777,1991-07-16 00:00:00+00:00,0.0,01463500
28778,1991-07-17 00:00:00+00:00,0.0,01463500
28779,1991-07-18 00:00:00+00:00,0.0,01463500
28780,1991-07-19 00:00:00+00:00,0.0,01463500
28781,1991-07-20 00:00:00+00:00,0.0,01463500
28782,1991-07-21 00:00:00+00:00,0.0,01463500
28783,1991-07-22 00:00:00+00:00,0.0,01463500
28784,1991-07-23 00:00:00+00:00,0.0,01463500
28785,1991-07-24 00:00:00+00:00,0.0,01463500
28786,1991-07-25 00:00:00+00:00,0.0,01463500
28787,1991-07-26 00:00:00+00:00,0.0,01463500
28788,1991-07-27 00:00:00+00:00,0.0,01463500
28789,1991-07-28 00:00:00+00:00,0.0,01463500
28790,1991-07-29 00:00:00+00:00,0.0,01463500
28791,1991-07-30 00:00:00+00:00,0.0,01463500
28792,1991-07-31 00:00:00+00:00,0.0,01463500
28793,1991-08-01 00:00:00+00:00,0.0,01463500
28794,1991-08-02 00:00:00+00:00,0.0,01463500
28795,1991-08-03 00:00:00+00:00,0.0,01463500
